idx	VP	resource	condition	blockNo	trial	task	stimulus	value	key	response	stim_pres_ms	response_ms
108238	43	mix	VgRk	3	1	A	K  H	true	true	true	7	1696
108239	43	mix	VgRk	3	2	A	H  J	false	false	true	1697	2254
108240	43	mix	VgRk	3	3	A	S  K	false	false	true	2254	2846
108241	43	mix	VgRk	3	4	A	D  B	false	false	true	2849	3486
108242	43	mix	VgRk	3	5	A	K  S	false	false	true	3486	4262
108243	43	mix	VgRk	3	6	A	H  K	true	true	true	4262	4870
108244	43	mix	VgRk	3	7	A	M  K	false	false	true	4870	5813
108245	43	mix	VgRk	3	8	B	images/39_50_k.jpg	false	false	true	7	6269
108246	43	mix	VgRk	3	9	A	X  B	false	false	true	5814	6957
108247	43	mix	VgRk	3	10	B	images/13_50_k.jpg	false	false	true	6270	7381
108248	43	mix	VgRk	3	11	B	images/25_50_k.jpg	false	false	true	7382	8383
108249	43	mix	VgRk	3	12	B	images/25_50_R_k.jpg	true	true	true	8384	9061
108250	43	mix	VgRk	3	13	B	images/13_50_R_k.jpg	true	true	true	9062	9565
108251	43	mix	VgRk	3	14	B	images/13_50_k.jpg	false	false	true	9566	10173
108252	43	mix	VgRk	3	15	B	images/1_50_k.jpg	false	false	true	10174	10757
108253	43	mix	VgRk	3	16	A	W  K	false	false	true	6958	11621
108254	43	mix	VgRk	3	17	A	K  H	true	true	true	11622	12381
108255	43	mix	VgRk	3	18	A	Q  Y	false	false	true	12382	12997
108256	43	mix	VgRk	3	19	A	H  K	true	true	true	12998	13670
108257	43	mix	VgRk	3	20	A	C  B	false	false	true	13671	14413
108258	43	mix	VgRk	3	21	A	Q  B	true	true	true	14414	15053
108259	43	mix	VgRk	3	22	A	G  B	false	false	true	15054	15669
108260	43	mix	VgRk	3	23	A	K  H	true	true	true	15670	16261
108261	43	mix	VgRk	3	24	A	B  Q	true	true	true	16262	16837
108262	43	mix	VgRk	3	25	A	K  H	true	true	true	16838	17397
108263	43	mix	VgRk	3	26	A	S  Q	false	false	true	17398	17967
108264	43	mix	VgRk	3	27	B	images/39_50_R_k.jpg	true	true	true	10760	18421
108265	43	mix	VgRk	3	28	B	images/39_50_k.jpg	false	false	true	18422	19029
108266	43	mix	VgRk	3	29	B	images/1_50_k.jpg	false	false	true	19030	19645
108267	43	mix	VgRk	3	30	B	images/25_50_k.jpg	false	false	true	19647	20173
108268	43	mix	VgRk	3	31	B	images/13_50_k.jpg	false	true	false	20174	20653
108269	43	mix	VgRk	3	32	B	images/25_50_R_k.jpg	true	true	true	20654	21373
108270	43	mix	VgRk	3	33	B	images/25_50_k.jpg	false	false	true	21374	22021
