P	R	B	C	T	O	t	sA	sB	a1	a2	a_t	r	RT
5	1	1	LTD-RMC	H X | L R	0.000	0	X  B	13_50_k	A	0	(1, 0)	1	3.649
5	1	1	LTD-RMC	H X | L R	3.649	1	X  H	13_50_k	A	1	(1, 1)	1	1.054
5	1	1	LTD-RMC	H X | L R	4.768	2	R  D	13_50_k	A	0	(1, 0)	1	0.783
5	1	1	LTD-RMC	H X | L R	5.584	3	R  L	13_50_k	A	1	(1, 1)	1	0.671
5	1	1	LTD-RMC	H X | L R	6.288	4	L  K	13_50_k	A	0	(1, 0)	1	0.711
5	1	1	LTD-RMC	H X | L R	7.032	5	N  R	13_50_k	A	0	(1, 0)	1	0.935
5	1	1	LTD-RMC	H X | L R	8.000	6	X  H	13_50_k	A	1	(1, 1)	1	0.823
5	1	1	LTD-RMC	H X | L R	8.856	7	L  R	13_50_k	A	1	(1, 1)	1	1.735
5	1	1	LTD-RMC	H X | L R	10.624	8	R  L	13_50_k	A	1	(1, 1)	1	0.615
5	1	1	LTD-RMC	H X | L R	11.272	9	L  R	13_50_k	A	1	(1, 1)	1	0.520
5	1	1	LTD-RMC	H X | L R	11.824	10	X  Q	13_50_k	A	0	(1, 0)	1	0.952
5	1	1	LTD-RMC	H X | L R	12.809	11	H  X	13_50_k	A	1	(1, 1)	1	0.689
5	1	1	LTD-RMC	H X | L R	13.576	12	X  H	13_50_k	A	1	(1, 1)	1	0.775
5	1	1	LTD-RMC	H X | L R	14.384	13	H  B	13_50_k	A	0	(1, 0)	1	0.696
5	1	1	LTD-RMC	H X | L R	15.112	14	L  R	13_50_k	A	1	(1, 1)	1	0.575
5	1	1	LTD-RMC	H X | L R	15.720	15	X  H	13_50_k	A	1	(1, 1)	1	0.792
5	1	1	LTD-RMC	H X | L R	16.544	16	C  H	13_50_k	A	0	(1, 0)	1	0.671
5	1	1	LTD-RMC	H X | L R	17.248	17	R  D	13_50_k	A	0	(1, 0)	1	0.760
5	1	1	LTD-RMC	H X | L R	18.040	18	R  K	13_50_k	A	0	(1, 0)	1	0.727
5	1	1	LTD-RMC	H X | L R	18.800	19	H  S	13_50_k	A	0	(1, 0)	1	0.624
5	1	1	LTD-RMC	H X | L R	19.456	20	L  R	13_50_k	A	1	(1, 1)	1	0.863
5	1	1	LTD-RMC	H X | L R	20.352	21	V  R	13_50_k	A	0	(1, 0)	1	0.640
5	1	1	LTD-RMC	H X | L R	21.025	22	R  L	13_50_k	A	1	(1, 1)	1	0.609
5	1	1	LTD-RMC	H X | L R	21.712	23	H  X	13_50_k	A	1	(1, 1)	1	1.135
5	1	1	LTD-RMC	H X | L R	22.880	24	H  S	13_50_k	A	0	(1, 0)	1	0.616
5	1	1	LTD-RMC	H X | L R	23.528	25	R  Y	13_50_k	A	0	(1, 0)	1	1.777
5	1	1	LTD-RMC	H X | L R	25.338	26	X  H	13_50_k	A	1	(1, 1)	1	0.864
5	1	1	LTD-RMC	H X | L R	26.280	27	J  X	13_50_k	A	0	(1, 0)	1	0.927
5	1	1	LTD-RMC	H X | L R	27.240	28	R  L	13_50_k	A	1	(1, 1)	1	0.618
5	1	1	LTD-RMC	H X | L R	27.890	29	C  X	13_50_k	A	0	(1, 0)	1	0.872
5	1	1	LTD-RMC	H X | L R	28.840	30	Q  L	13_50_k	A	0	(1, 0)	1	0.759
5	1	1	LTD-RMC	H X | L R	29.632	31	X  H	13_50_k	A	1	(1, 1)	1	0.647
5	1	1	LTD-RMC	H X | L R	30.312	32	L  R	13_50_k	A	1	(1, 1)	1	0.697
5	1	1	LTD-RMC	H X | L R	31.041	33	H  X	13_50_k	A	1	(1, 1)	1	1.217
5	1	1	LTD-RMC	H X | L R	32.304	34	R  L	13_50_k	A	1	(1, 1)	1	0.816
5	1	1	LTD-RMC	H X | L R	33.152	35	n/a	13_50_k	B	0	(2, 0)	1	35.720
5	1	1	LTD-RMC	H X | L R	35.720	36	n/a	39_50_k	B	0	(2, 0)	1	0.552
5	1	1	LTD-RMC	H X | L R	36.304	37	n/a	1_50_R_k	B	1	(2, 1)	1	0.601
5	1	1	LTD-RMC	H X | L R	36.937	38	n/a	39_50_R_k	B	1	(2, 1)	1	0.662
5	1	1	LTD-RMC	H X | L R	37.631	39	n/a	1_50_R_k	B	1	(2, 1)	1	0.632
5	1	1	LTD-RMC	H X | L R	38.296	40	n/a	39_50_R_k	B	1	(2, 1)	1	0.559
5	1	1	LTD-RMC	H X | L R	38.888	41	n/a	13_50_R_k	B	1	(2, 1)	1	0.594
5	1	1	LTD-RMC	H X | L R	39.527	42	n/a	1_50_k	B	0	(2, 0)	1	0.623
5	1	1	LTD-RMC	H X | L R	40.183	43	n/a	39_50_R_k	B	1	(2, 1)	1	0.527
5	1	1	LTD-RMC	H X | L R	40.743	44	n/a	25_50_k	B	0	(2, 0)	1	0.687
5	1	1	LTD-RMC	H X | L R	41.463	45	n/a	39_50_k	B	0	(2, 0)	1	0.991
5	1	1	LTD-RMC	H X | L R	42.487	46	n/a	13_50_R_k	B	1	(2, 1)	1	0.639
5	1	1	LTD-RMC	H X | L R	43.159	47	n/a	25_50_k	B	0	(2, 0)	1	0.622
5	1	1	LTD-RMC	H X | L R	43.815	48	n/a	39_50_k	B	0	(2, 0)	1	0.519
5	1	1	LTD-RMC	H X | L R	44.367	49	n/a	39_50_R_k	B	1	(2, 1)	1	0.539
5	1	1	LTD-RMC	H X | L R	44.938	50	n/a	13_50_k	B	0	(2, 0)	1	0.680
5	1	1	LTD-RMC	H X | L R	45.695	51	n/a	25_50_R_k	B	1	(2, 1)	1	0.479
5	1	1	LTD-RMC	H X | L R	46.207	52	n/a	1_50_k	B	0	(2, 0)	1	0.527
5	1	1	LTD-RMC	H X | L R	46.767	53	n/a	1_50_R_k	B	1	(2, 1)	1	0.480
5	1	1	LTD-RMC	H X | L R	47.279	54	n/a	25_50_k	B	0	(2, 0)	1	0.639
5	1	1	LTD-RMC	H X | L R	47.951	55	n/a	39_50_R_k	B	1	(2, 1)	1	0.472
5	1	1	LTD-RMC	H X | L R	48.455	56	n/a	1_50_R_k	B	0	(2, 0)	0	0.487
5	1	1	LTD-RMC	H X | L R	48.975	57	n/a	25_50_R_k	B	1	(2, 1)	1	0.599
5	1	1	LTD-RMC	H X | L R	49.607	58	n/a	39_50_R_k	B	1	(2, 1)	1	0.551
5	1	1	LTD-RMC	H X | L R	50.191	59	n/a	39_50_k	B	0	(2, 0)	1	0.599
5	1	1	LTD-RMC	H X | L R	50.823	60	n/a	25_50_k	B	0	(2, 0)	1	0.607
5	1	1	LTD-RMC	H X | L R	51.463	61	n/a	13_50_k	B	0	(2, 0)	1	0.560
5	1	1	LTD-RMC	H X | L R	52.055	62	n/a	39_50_k	B	0	(2, 0)	1	0.511
5	1	1	LTD-RMC	H X | L R	52.599	63	n/a	1_50_k	B	0	(2, 0)	1	0.623
5	1	1	LTD-RMC	H X | L R	53.255	64	n/a	13_50_R_k	B	1	(2, 1)	1	0.530
5	1	1	LTD-RMC	H X | L R	53.817	65	n/a	1_50_R_k	B	1	(2, 1)	1	0.560
5	1	1	LTD-RMC	H X | L R	54.423	66	n/a	25_50_k	B	0	(2, 0)	1	0.648
5	1	1	LTD-RMC	H X | L R	55.103	67	n/a	39_50_k	B	0	(2, 0)	1	0.528
5	1	1	LTD-RMC	H X | L R	55.663	68	n/a	1_50_k	B	0	(2, 0)	1	0.591
5	1	1	LTD-RMC	H X | L R	56.287	69	n/a	25_50_k	B	0	(2, 0)	1	0.592
5	1	1	LTD-RMC	H X | L R	56.911	70	n/a	25_50_R_k	B	1	(2, 1)	1	0.584
5	1	1	LTD-RMC	H X | L R	57.527	71	n/a	13_50_R_k	B	1	(2, 1)	1	0.583
5	1	1	LTD-RMC	H X | L R	58.143	72	n/a	1_50_k	B	0	(2, 0)	1	0.583
5	1	1	LTD-RMC	H X | L R	58.759	73	n/a	39_50_R_k	B	1	(2, 1)	1	0.559
5	1	1	LTD-RMC	H X | L R	59.351	74	n/a	25_50_R_k	B	1	(2, 1)	1	0.640
5	1	1	LTD-RMC	H X | L R	60.023	75	n/a	1_50_R_k	B	1	(2, 1)	1	0.664
5	1	1	LTD-RMC	H X | L R	60.719	76	n/a	25_50_R_k	B	1	(2, 1)	1	0.598
5	1	1	LTD-RMC	H X | L R	61.359	77	n/a	1_50_R_k	B	1	(2, 1)	1	0.600
5	1	1	LTD-RMC	H X | L R	61.992	78	n/a	25_50_k	B	0	(2, 0)	1	0.710
5	1	1	LTD-RMC	H X | L R	62.703	79	n/a	39_50_k	B	0	(2, 0)	1	0.544
5	1	1	LTD-RMC	H X | L R	63.279	80	n/a	13_50_k	B	0	(2, 0)	1	0.504
5	1	1	LTD-RMC	H X | L R	63.815	81	n/a	25_50_R_k	B	1	(2, 1)	1	0.592
5	1	1	LTD-RMC	H X | L R	64.439	82	n/a	1_50_R_k	B	1	(2, 1)	1	0.632
5	1	1	LTD-RMC	H X | L R	65.103	83	n/a	13_50_R_k	B	1	(2, 1)	1	0.705
5	1	1	LTD-RMC	H X | L R	65.841	84	n/a	1_50_k	B	0	(2, 0)	1	0.600
5	1	1	LTD-RMC	H X | L R	66.519	85	n/a	13_50_k	B	0	(2, 0)	1	0.527
5	1	1	LTD-RMC	H X | L R	67.079	86	n/a	1_50_k	B	0	(2, 0)	1	0.586
5	1	1	LTD-RMC	H X | L R	67.697	87	n/a	25_50_k	B	0	(2, 0)	1	0.554
5	1	1	LTD-RMC	H X | L R	68.328	88	n/a	13_50_k	B	0	(2, 0)	1	0.529
5	1	1	LTD-RMC	H X | L R	68.903	89	n/a	39_50_R_k	B	1	(2, 1)	1	0.552
5	1	1	LTD-RMC	H X | L R	69.487	90	n/a	13_50_R_k	B	1	(2, 1)	1	0.543
5	1	1	LTD-RMC	H X | L R	70.063	91	n/a	39_50_k	B	0	(2, 0)	1	0.584
5	1	1	LTD-RMC	H X | L R	70.679	92	n/a	25_50_R_k	B	1	(2, 1)	1	0.544
5	1	1	LTD-RMC	H X | L R	71.255	93	n/a	1_50_k	B	0	(2, 0)	1	0.631
5	1	1	LTD-RMC	H X | L R	71.919	94	n/a	25_50_k	B	0	(2, 0)	1	0.848
5	1	1	LTD-RMC	H X | L R	72.799	95	n/a	1_50_R_k	B	1	(2, 1)	1	0.607
5	1	1	LTD-RMC	H X | L R	73.439	96	n/a	13_50_R_k	B	1	(2, 1)	1	0.632
5	1	1	LTD-RMC	H X | L R	74.103	97	n/a	13_50_k	B	0	(2, 0)	1	0.576
5	1	1	LTD-RMC	H X | L R	74.711	98	n/a	1_50_k	B	0	(2, 0)	1	0.512
5	1	1	LTD-RMC	H X | L R	75.257	99	n/a	13_50_k	B	0	(2, 0)	1	0.601
5	1	1	LTD-RMC	H X | L R	75.935	100	n/a	39_50_k	B	0	(2, 0)	1	0.487
5	1	1	LTD-RMC	H X | L R	76.455	101	n/a	13_50_k	B	0	(2, 0)	1	0.496
5	1	1	LTD-RMC	H X | L R	76.983	102	n/a	1_50_R_k	B	1	(2, 1)	1	0.616
5	1	1	LTD-RMC	H X | L R	77.631	103	n/a	25_50_k	B	0	(2, 0)	1	0.616
5	1	1	LTD-RMC	H X | L R	78.279	104	n/a	39_50_R_k	B	1	(2, 1)	1	0.528
5	1	1	LTD-RMC	H X | L R	78.839	105	n/a	13_50_R_k	B	1	(2, 1)	1	0.559
5	1	1	LTD-RMC	H X | L R	79.430	106	n/a	39_50_k	B	0	(2, 0)	1	0.647
5	1	1	LTD-RMC	H X | L R	80.110	107	n/a	39_50_R_k	B	1	(2, 1)	1	0.447
5	1	1	LTD-RMC	H X | L R	80.622	108	n/a	13_50_R_k	B	1	(2, 1)	1	0.497
5	1	1	LTD-RMC	H X | L R	81.152	109	n/a	25_50_R_k	B	1	(2, 1)	1	0.661
5	1	1	LTD-RMC	H X | L R	81.846	110	n/a	13_50_R_k	B	1	(2, 1)	1	0.559
5	1	1	LTD-RMC	H X | L R	82.438	111	n/a	25_50_k	B	0	(2, 0)	1	0.624
5	1	1	LTD-RMC	H X | L R	83.094	112	n/a	1_50_R_k	B	1	(2, 1)	1	0.463
5	1	1	LTD-RMC	H X | L R	83.590	113	n/a	13_50_R_k	B	1	(2, 1)	1	0.543
5	1	1	LTD-RMC	H X | L R	84.166	114	n/a	1_50_k	B	0	(2, 0)	1	0.543
5	1	1	LTD-RMC	H X | L R	84.742	115	n/a	25_50_R_k	B	1	(2, 1)	1	0.639
5	1	1	LTD-RMC	H X | L R	85.414	116	n/a	25_50_k	B	0	(2, 0)	1	0.600
5	1	1	LTD-RMC	H X | L R	86.046	117	n/a	1_50_R_k	B	1	(2, 1)	1	0.458
5	1	1	LTD-RMC	H X | L R	86.537	118	n/a	39_50_R_k	B	1	(2, 1)	1	0.576
5	1	1	LTD-RMC	H X | L R	87.190	119	n/a	1_50_R_k	B	1	(2, 1)	1	0.688
5	1	1	LTD-RMC	H X | L R	87.910	120	n/a	1_50_k	B	0	(2, 0)	1	0.511
5	1	1	LTD-RMC	H X | L R	88.454	121	n/a	25_50_k	B	0	(2, 0)	1	0.623
5	1	1	LTD-RMC	H X | L R	89.110	122	n/a	13_50_R_k	B	1	(2, 1)	1	0.504
5	1	1	LTD-RMC	H X | L R	89.646	123	n/a	1_50_R_k	B	1	(2, 1)	1	0.583
5	1	1	LTD-RMC	H X | L R	90.262	124	n/a	13_50_k	B	0	(2, 0)	1	0.535
5	1	1	LTD-RMC	H X | L R	90.830	125	n/a	39_50_k	B	0	(2, 0)	1	0.535
5	1	1	LTD-RMC	H X | L R	91.398	126	n/a	25_50_R_k	B	1	(2, 1)	1	0.479
5	1	1	LTD-RMC	H X | L R	91.910	127	n/a	25_50_k	B	0	(2, 0)	1	0.551
5	1	1	LTD-RMC	H X | L R	92.494	128	n/a	39_50_R_k	B	1	(2, 1)	1	0.479
5	1	1	LTD-RMC	H X | L R	93.006	129	n/a	1_50_k	B	0	(2, 0)	1	0.560
5	1	1	LTD-RMC	H X | L R	93.598	130	n/a	1_50_R_k	B	1	(2, 1)	1	0.551
5	1	1	LTD-RMC	H X | L R	94.182	131	n/a	13_50_R_k	B	1	(2, 1)	1	0.520
5	1	1	LTD-RMC	H X | L R	94.735	132	n/a	39_50_R_k	B	1	(2, 1)	1	0.489
5	1	1	LTD-RMC	H X | L R	95.270	133	n/a	25_50_R_k	B	1	(2, 1)	1	0.543
5	1	1	LTD-RMC	H X | L R	95.846	134	n/a	13_50_R_k	B	1	(2, 1)	1	0.527
5	1	1	LTD-RMC	H X | L R	96.406	135	n/a	13_50_k	B	0	(2, 0)	1	0.536
5	1	1	LTD-RMC	H X | L R	96.974	136	n/a	39_50_k	B	0	(2, 0)	1	0.528
5	1	1	LTD-RMC	H X | L R	97.534	137	n/a	13_50_k	B	0	(2, 0)	1	0.487
5	1	1	LTD-RMC	H X | L R	98.054	138	n/a	25_50_R_k	B	1	(2, 1)	1	0.504
5	1	1	LTD-RMC	H X | L R	98.590	139	n/a	39_50_R_k	B	1	(2, 1)	1	0.488
5	1	1	LTD-RMC	H X | L R	99.110	140	n/a	25_50_k	B	0	(2, 0)	1	0.703
5	1	1	LTD-RMC	H X | L R	99.846	141	n/a	25_50_R_k	B	1	(2, 1)	1	0.480
5	1	1	LTD-RMC	H X | L R	100.358	142	n/a	13_50_R_k	B	1	(2, 1)	1	0.584
5	1	1	LTD-RMC	H X | L R	100.974	143	n/a	13_50_k	B	0	(2, 0)	1	0.543
5	1	1	LTD-RMC	H X | L R	101.550	144	n/a	39_50_k	B	0	(2, 0)	1	0.592
5	1	1	LTD-RMC	H X | L R	102.174	145	n/a	13_50_k	B	0	(2, 0)	1	0.511
5	1	1	LTD-RMC	H X | L R	102.718	146	n/a	25_50_k	B	0	(2, 0)	1	0.575
5	1	1	LTD-RMC	H X | L R	103.326	147	n/a	1_50_R_k	B	1	(2, 1)	1	0.640
5	1	1	LTD-RMC	H X | L R	103.982	148	n/a	25_50_R_k	B	1	(2, 1)	1	0.640
5	1	1	LTD-RMC	H X | L R	104.654	149	n/a	13_50_k	B	0	(2, 0)	1	0.560
5	1	1	LTD-RMC	H X | L R	105.246	150	n/a	1_50_R_k	B	1	(2, 1)	1	0.511
5	1	1	LTD-RMC	H X | L R	105.790	151	n/a	25_50_R_k	B	1	(2, 1)	1	0.613
5	1	1	LTD-RMC	H X | L R	106.438	152	n/a	13_50_R_k	B	1	(2, 1)	1	0.687
5	1	1	LTD-RMC	H X | L R	107.158	153	n/a	25_50_R_k	B	1	(2, 1)	1	0.624
5	1	1	LTD-RMC	H X | L R	107.814	154	n/a	39_50_R_k	B	1	(2, 1)	1	0.631
5	1	1	LTD-RMC	H X | L R	108.478	155	n/a	1_50_k	B	0	(2, 0)	1	0.602
5	1	1	LTD-RMC	H X | L R	109.158	156	n/a	1_50_R_k	B	1	(2, 1)	1	0.792
5	1	1	LTD-RMC	H X | L R	109.982	157	n/a	13_50_k	B	0	(2, 0)	1	0.849
5	1	1	LTD-RMC	H X | L R	110.863	158	n/a	1_50_k	B	0	(2, 0)	1	0.721
